               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055384,              0.0245,            0.037803,             0.51982,                 0.7,             0.82335,             0.50265,            0.015601,           0.0053024,            0.016922,            0.070316,           0.0032982,           0.0032982
                   1,            0.036518,            0.013992,            0.033565,             0.87864,             0.72622,             0.88218,             0.36734,            0.016538,           0.0038258,             0.01825,            0.039659,           0.0059751,           0.0059751
                   2,            0.033059,            0.011848,            0.028998,             0.95667,                   1,               0.995,             0.57238,            0.010095,           0.0023966,            0.013733,           0.0083427,           0.0079919,           0.0079919
                   3,            0.029297,            0.010197,            0.025785,                   1,             0.97286,               0.995,              0.6323,            0.010349,           0.0020993,            0.016006,             0.00703,             0.00703,             0.00703
                   4,            0.028452,           0.0090958,            0.023476,             0.98231,                   1,               0.995,             0.83887,           0.0051329,           0.0020474,            0.013161,             0.00703,             0.00703,             0.00703
                   5,            0.025344,           0.0088479,            0.019716,             0.97256,                   1,               0.995,             0.64044,           0.0088758,           0.0021461,            0.013214,             0.00604,             0.00604,             0.00604
                   6,            0.023133,           0.0080916,            0.017963,             0.96689,                   1,               0.995,             0.87103,           0.0047621,           0.0018252,            0.012947,             0.00505,             0.00505,             0.00505
                   7,            0.020609,           0.0077452,            0.014227,                   1,             0.87132,               0.995,             0.86992,           0.0049756,           0.0015608,            0.018936,             0.00406,             0.00406,             0.00406
                   8,            0.018125,           0.0073392,            0.012504,             0.98759,                   1,               0.995,             0.90419,           0.0032111,           0.0022809,            0.011391,             0.00307,             0.00307,             0.00307
                   9,            0.015701,           0.0066941,            0.010857,             0.96421,                   1,               0.995,             0.89175,           0.0032961,           0.0024664,            0.011932,             0.00208,             0.00208,             0.00208
